Player,Year_Drafted,Year_Final,Career Earnings (millions),Cap-Inflated Earnings (millions),Earnings By Team Dict
Cole McDonald,9999,9999,0.102,0.131,{'Titans': 0.102}
Joel Stave,2017,2017,0.096,0.154,"{'Vikings': 0.053, 'Jets': 0.022, 'Commanders': 0.014, 'Seahawks': 0.007}"
Michael Pratt,2024,9999,0.087,0.087,{'Packers': 0.087}
Dylan Thompson,9999,9999,0.086,0.153,{'49ers': 0.086}
Eric Dungey,9999,9999,0.085,0.115,"{'Browns': 0.08, 'Giants': 0.005}"
Drew Plitt,2023,2023,0.084,0.095,{'Bengals': 0.084}
Dresser Winn,2023,2023,0.083,0.095,{'Rams': 0.083}
Tajh Boyd,9999,9999,0.079,0.151,{'Jets': 0.079}
Jordan Rodgers,2013,2013,0.077,0.16,"{'Buccaneers': 0.072, 'Jaguars': 0.005}"
Sefo Liufau,9999,9999,0.071,0.109,{'Buccaneers': 0.071}
Nick Fitzgerald,9999,9999,0.07,0.095,{'Buccaneers': 0.07}
Davis Cheek,2022,2022,0.065,0.08,{'Panthers': 0.065}
Jerod Evans,9999,9999,0.065,0.099,{'Packers': 0.065}
Ryan Willis,2021,2021,0.064,0.09,{'Bears': 0.064}
Drew Anderson,2019,2019,0.06,0.082,{'Cardinals': 0.06}
Jack Coan,9999,9999,0.06,0.074,{'Colts': 0.06}
Adrian Martinez,2024,9999,0.06,0.068,{'Lions': 0.06}
Jeff Tuel,9999,9999,0.059,0.106,{'Jaguars': 0.059}
Jon Kitna,2013,2013,0.056,0.117,{'Cowboys': 0.056}
Tyler Ferguson,9999,9999,0.055,0.085,{'Titans': 0.055}
Seth Lobato,9999,9999,0.053,0.103,"{'Dolphins': 0.05, 'Colts': 0.003}"
Austin Allen,9999,9999,0.05,0.072,{'Buccaneers': 0.05}
Rex Grossman,9999,9999,0.05,0.096,{'Browns': 0.05}
Tanner Morgan,9999,9999,0.049,0.056,"{'Steelers': 0.025, 'Vikings': 0.024}"
Mike Bercovici,9999,9999,0.047,0.072,"{'Cardinals': 0.043, 'Chargers': 0.004}"
Kenji Bahar,9999,9999,0.046,0.064,{'Ravens': 0.046}
Bryn Renner,9999,9999,0.043,0.077,"{'Ravens': 0.039, 'Broncos': 0.004}"
Alek Torgersen,2017,2017,0.041,0.063,"{'Commanders': 0.029, 'Lions': 0.007, 'Falcons': 0.005}"
Anthony Gordon,2021,2021,0.04,0.055,"{'Broncos': 0.028, 'Seahawks': 0.012}"
McLeod Bethel-Thompson,9999,9999,0.038,0.072,"{'Vikings': 0.025, 'Dolphins': 0.007, 'Patriots': 0.006}"
Dominique Davis,9999,9999,0.038,0.073,{'Colts': 0.038}
Holton Ahlers,9999,9999,0.037,0.042,{'Seahawks': 0.037}
Lance Ball,9999,9999,0.036,0.078,"{'Rams': 0.021, 'Titans': 0.016}"
John Rhys Plumlee,2024,9999,0.035,0.035,{'Steelers': 0.035}
Pat Devlin,2015,2015,0.034,0.061,{'Browns': 0.034}
Caleb Hanie,9999,9999,0.033,0.068,{'Browns': 0.033}
Dennis Dixon,9999,9999,0.031,0.064,"{'Eagles': 0.025, 'Cardinals': 0.006}"
J'Mar Smith,9999,9999,0.03,0.039,{'Patriots': 0.03}
Kedon Slovis,2024,9999,0.03,0.03,{'Jaguars': 0.03}
Dustin Vaughan,9999,9999,0.026,0.047,{'Bills': 0.026}
Rusty Smith,9999,9999,0.024,0.05,{'Titans': 0.024}
Jake Heaps,9999,9999,0.021,0.034,{'Steelers': 0.021}
Jason Bean,2024,9999,0.02,0.02,{'Colts': 0.02}
Wilton Speight,9999,9999,0.02,0.027,{'49ers': 0.02}
Josh Love,9999,9999,0.019,0.026,"{'Rams': 0.01, 'Panthers': 0.009}"
Jeff Mathews,2014,2014,0.019,0.036,"{'Cardinals': 0.013, 'Colts': 0.006}"
Taryn Christion,9999,9999,0.018,0.024,"{'Seahawks': 0.01, 'Steelers': 0.008}"
Chevan Cordeiro,9999,9999,0.018,0.018,{'Seahawks': 0.018}
Kevin Davidson,9999,9999,0.018,0.023,{'Browns': 0.018}
Brock Jensen,9999,9999,0.016,0.031,{'Dolphins': 0.016}
Luis Perez,9999,9999,0.015,0.022,{'Rams': 0.015}
Levi Lewis,9999,9999,0.015,0.018,{'Seahawks': 0.015}
Peewee Jarrett,9999,9999,0.015,0.015,{'Jets': 0.015}
G.J. Kinne,9999,9999,0.013,0.024,{'Giants': 0.013}
Nic Shimonek,9999,9999,0.013,0.018,"{'Commanders': 0.008, 'Chargers': 0.005}"
Cody Fajardo,9999,9999,0.012,0.022,{'Raiders': 0.012}
James Blackman,9999,9999,0.012,0.014,{'Dolphins': 0.012}
Jerrod Johnson,9999,9999,0.012,0.025,{'Bears': 0.012}
Casey Bauman,9999,9999,0.01,0.01,{'Chargers': 0.01}
Jack Plummer,2024,9999,0.01,0.01,{'Panthers': 0.01}
Rocky Lombardi,9999,9999,0.01,0.01,{'Bengals': 0.01}
Bryan Bennett,9999,9999,0.01,0.018,{'Colts': 0.01}
Riley Neal,9999,9999,0.008,0.01,{'Broncos': 0.008}
Connor Halliday,9999,9999,0.008,0.013,{'Commanders': 0.008}
Keith Price,9999,9999,0.007,0.013,{'Seahawks': 0.007}
Jalen Morton,9999,9999,0.007,0.009,{'Packers': 0.007}
Brandon Peters,9999,9999,0.007,0.009,{'Chargers': 0.007}
Nolan Henderson,9999,9999,0.006,0.007,{'Ravens': 0.006}
Gavin Hardison,9999,9999,0.005,0.005,{'Dolphins': 0.005}
John Paddock,9999,9999,0.005,0.005,{'Falcons': 0.005}
Austin Reed,2024,9999,0.005,0.005,{'Bears': 0.005}
Brendon Kay,9999,9999,0.005,0.01,{'Steelers': 0.005}
Logan Kilgore,9999,9999,0.005,0.01,{'Saints': 0.005}
Jerry Lovelocke,9999,9999,0.005,0.009,{'Ravens': 0.005}
Matt Johnson,9999,9999,0.005,0.008,{'Bengals': 0.005}
Peter Pujals,9999,9999,0.005,0.007,{'Vikings': 0.005}
Jake Coker,9999,9999,0.005,0.008,{'Cardinals': 0.005}
Cole Kelley,9999,9999,0.005,0.006,{'Commanders': 0.005}
Eli Jenkins,9999,9999,0.005,0.008,{'Chargers': 0.005}
Wes Lunt,9999,9999,0.005,0.008,{'Vikings': 0.005}
Max Wittek,9999,9999,0.005,0.008,{'Jaguars': 0.005}
Nick Schuessler,9999,9999,0.004,0.006,{'Steelers': 0.004}
Chase Rettig,9999,9999,0.004,0.007,{'Packers': 0.004}
Zach Terrell,9999,9999,0.003,0.005,{'Ravens': 0.003}
Anthony Boone,9999,9999,0.003,0.005,{'Lions': 0.003}
Zack Annexstad,9999,9999,0.003,0.003,{'Buccaneers': 0.003}
Kory Faulkner,9999,9999,0.003,0.006,{'49ers': 0.003}
Brett Smith,9999,9999,0.003,0.006,{'Buccaneers': 0.003}
Jake Waters,9999,9999,0.002,0.004,{'Jaguars': 0.002}
Tim DeMorat,9999,9999,0.002,0.003,{'Commanders': 0.002}
Skyler Howard,9999,9999,0.002,0.003,{'Seahawks': 0.002}
James Franklin,9999,9999,0.002,0.004,{'Lions': 0.002}
Cole Stoudt,9999,9999,0.002,0.004,{'Chargers': 0.002}
Austin Appleby,9999,9999,0.002,0.002,{'Cowboys': 0.002}
Travis Partridge,9999,9999,0.001,0.002,{'Vikings': 0.001}
Dalton Sturm,9999,9999,0.001,0.001,{'Cowboys': 0.001}
Brogan Roback,9999,9999,0.001,0.001,{'Browns': 0.001}
Tommy Rees,9999,9999,0.001,0.002,{'Commanders': 0.001}
Nick Stevens,9999,9999,0.0,0.001,{'Broncos': 0.0}
Broc Rutter,9999,9999,0.0,0.0,{'49ers': 0.0}
