Player,Year_Drafted,Year_Final,Career Earnings (millions),Cap-Inflated Earnings (millions),Earnings By Team Dict
Taylor Heinicke,2015,9999,15.71,19.517,"{'Falcons': 8.28, 'Commanders': 5.798, 'Vikings': 0.79, 'Panthers': 0.689, 'Texans': 0.123, 'Patriots': 0.03}"
Justin Fields,2021,9999,15.639,20.998,{'Bears': 15.639}
Dwayne Haskins,2019,2021,15.267,20.383,"{'Commanders': 14.417, 'Steelers': 0.85}"
Michael Penix Jr.,2024,9999,13.462,13.462,{'Falcons': 13.462}
Drew Lock,2019,9999,13.011,15.862,"{'Broncos': 5.56, 'Seahawks': 5.451, 'Giants': 2.0}"
Mac Jones,2021,9999,12.801,17.131,{'Patriots': 12.801}
J.J. McCarthy,2024,9999,12.714,12.714,{'Vikings': 12.714}
Jake Locker,2011,2014,12.586,26.21,{'Titans': 12.586}
Christian Ponder,2011,2016,12.546,25.283,"{'Vikings': 10.159, 'Raiders': 1.5, '49ers': 0.8, 'Broncos': 0.088}"
C.J. Beathard,2017,2023,11.501,14.944,"{'Jaguars': 7.972, '49ers': 3.529}"
Mason Rudolph,2018,9999,11.337,14.462,"{'Steelers': 9.987, 'Titans': 1.35}"
Nate Sudfeld,2016,2023,11.003,14.432,"{'Eagles': 5.965, 'Lions': 2.935, '49ers': 1.515, 'Commanders': 0.587}"
Brandon Weeden,2012,2018,10.876,20.663,"{'Browns': 6.281, 'Texans': 3.002, 'Cowboys': 0.958, 'Titans': 0.635}"
Matt Barkley,2013,2023,10.648,15.835,"{'Bills': 5.137, 'Eagles': 1.442, 'Cardinals': 0.932, 'Bengals': 0.893, 'Bears': 0.624, '49ers': 0.55, 'Panthers': 0.418, 'Giants': 0.323, 'Jaguars': 0.129, 'Titans': 0.126, 'Falcons': 0.074}"
Taysom Hill,2017,2020,10.511,13.787,"{'Saints': 10.506, 'Packers': 0.005}"
Bo Nix,2024,9999,10.357,10.357,{'Broncos': 10.357}
E.J. Manuel,2013,2017,9.785,18.637,"{'Bills': 8.885, 'Raiders': 0.9}"
Tim Tebow,2010,2012,9.595,20.094,"{'Broncos': 5.491, 'Jets': 4.104}"
Trevor Siemian,2015,2023,9.523,13.127,"{'Jets': 2.399, 'Bears': 2.035, 'Vikings': 1.907, 'Broncos': 1.628, 'Saints': 1.282, 'Bengals': 0.152, 'Titans': 0.12}"
Ryan Mallett,2011,2017,9.517,17.063,"{'Texans': 3.714, 'Ravens': 3.631, 'Patriots': 2.171}"
Josh Johnson,2008,9999,9.481,15.58,"{'Buccaneers': 1.922, 'Ravens': 1.724, 'Bengals': 1.095, 'Lions': 1.03, 'Giants': 1.0, '49ers': 0.883, 'Bills': 0.526, 'Broncos': 0.354, 'Jets': 0.333, 'Commanders': 0.215, 'Texans': 0.159, 'Colts': 0.153, 'Raiders': 0.045, 'Browns': 0.041}"
Kenny Pickett,2022,9999,9.461,11.484,{'Steelers': 9.461}
Mike White,2018,9999,9.101,11.093,"{'Dolphins': 4.5, 'Jets': 3.903, 'Cowboys': 0.698}"
Paxton Lynch,2016,2019,8.829,13.89,"{'Broncos': 8.334, 'Steelers': 0.495}"
Jeff Driskel,2016,9999,8.07,10.751,"{'Texans': 2.888, 'Broncos': 2.5, 'Bengals': 1.528, 'Lions': 0.513, 'Cardinals': 0.348, 'Browns': 0.18, '49ers': 0.113}"
Joshua Dobbs,2017,9999,7.836,10.062,"{'Steelers': 3.482, 'Browns': 1.535, 'Vikings': 0.833, 'Cardinals': 0.667, 'Jaguars': 0.607, '49ers': 0.5, 'Titans': 0.172, 'Lions': 0.04}"
Jarrett Stidham,2019,9999,7.621,9.323,"{'Broncos': 4.0, 'Patriots': 2.656, 'Raiders': 0.965}"
Tim Boyle,2018,9999,7.193,9.263,"{'Lions': 3.935, 'Packers': 1.806, 'Jets': 0.816, 'Bears': 0.345, 'Dolphins': 0.23, 'Texans': 0.062}"
Sean Mannion,2015,2023,7.191,10.388,"{'Vikings': 3.371, 'Rams': 3.251, 'Seahawks': 0.569}"
Brandon Allen,2016,9999,6.882,9.07,"{'Bengals': 3.423, '49ers': 1.532, 'Rams': 0.707, 'Broncos': 0.645, 'Jaguars': 0.574}"
Cooper Rush,2017,9999,6.718,8.517,"{'Cowboys': 6.532, 'Giants': 0.186}"
Nick Mullens,2017,9999,6.525,8.172,"{'Vikings': 3.363, '49ers': 1.87, 'Raiders': 0.692, 'Browns': 0.4, 'Eagles': 0.2}"
Brett Hundley,2015,2022,6.049,8.737,"{'Cardinals': 2.922, 'Packers': 1.799, 'Seahawks': 0.705, 'Colts': 0.484, 'Ravens': 0.124, 'Saints': 0.015}"
Ryan Griffin,2017,2022,5.941,8.344,"{'Buccaneers': 5.783, 'Saints': 0.158}"
Kyle Allen,2018,9999,5.937,7.413,"{'Texans': 2.397, 'Commanders': 1.525, 'Bills': 1.232, 'Panthers': 0.615, 'Steelers': 0.168}"
Davis Mills,2021,9999,5.866,6.95,{'Texans': 5.866}
Nathan Peterman,2017,9999,5.605,7.344,"{'Raiders': 2.588, 'Bears': 1.906, 'Bills': 1.031, 'Saints': 0.08}"
Phillip Walker,2017,2023,5.552,6.814,"{'Panthers': 2.46, 'Bears': 2.01, 'Browns': 0.797, 'Colts': 0.285}"
Johnny Manziel,2014,2015,5.534,10.517,{'Browns': 5.534}
Landry Jones,2013,2017,5.239,8.881,"{'Steelers': 5.099, 'Jaguars': 0.139}"
Easton Stick,2019,9999,5.231,6.505,{'Chargers': 5.231}
Austin Davis,2012,2017,5.214,9.057,"{'Browns': 1.534, 'Broncos': 1.25, 'Rams': 1.247, 'Seahawks': 1.084, 'Titans': 0.093, 'Dolphins': 0.006}"
Bruce Gradkowski,2013,2015,5.163,9.932,{'Steelers': 5.163}
Kellen Clemens,2014,2017,5.145,8.958,{'Chargers': 5.145}
Tyler Huntley,2020,9999,5.097,6.051,"{'Ravens': 4.627, 'Browns': 0.47}"
Will Levis,2023,9999,4.69,5.328,{'Titans': 4.69}
Will Grier,2019,9999,4.643,5.977,"{'Panthers': 1.992, 'Cowboys': 1.781, 'Patriots': 0.648, 'Chargers': 0.18, 'Bengals': 0.041}"
Joe Webb,2010,2019,4.303,7.373,"{'Vikings': 2.033, 'Texans': 2.025, 'Giants': 0.198, 'Lions': 0.048}"
Tyler Bray,2015,2020,4.183,6.409,"{'Chiefs': 2.966, 'Bears': 1.198, '49ers': 0.018}"
Kyle Trask,2021,9999,4.121,5.303,{'Buccaneers': 4.121}
Matt McGloin,2013,2016,4.109,7.142,"{'Raiders': 4.038, 'Texans': 0.046, 'Eagles': 0.025}"
DeShone Kizer,2017,2020,3.943,5.781,"{'Browns': 2.204, 'Raiders': 0.963, 'Packers': 0.69, 'Titans': 0.086}"
Brett Rypien,2019,9999,3.707,4.682,"{'Broncos': 2.745, 'Rams': 0.54, 'Jets': 0.3, 'Seahawks': 0.122}"
John Wolford,2019,2023,3.697,4.578,"{'Rams': 2.571, 'Buccaneers': 1.126}"
Scott Tolzien,2016,2017,3.607,5.778,"{'Colts': 3.5, 'Packers': 0.107}"
David Fales,2014,2019,3.258,4.982,"{'Dolphins': 1.286, 'Jets': 0.965, 'Bears': 0.907, 'Ravens': 0.1}"
T.J. Yates,2011,2017,3.21,6.181,"{'Texans': 1.99, 'Falcons': 1.02, 'Dolphins': 0.134, 'Bills': 0.066}"
Logan Woodside,2019,9999,3.084,3.899,"{'Titans': 1.756, 'Falcons': 1.259, 'Bengals': 0.07}"
David Blough,2019,2023,3.084,3.988,"{'Lions': 2.494, 'Cardinals': 0.291, 'Vikings': 0.279, 'Browns': 0.02}"
Kevin Hogan,2016,2021,3.054,4.425,"{'Broncos': 1.29, 'Browns': 0.892, 'Texans': 0.302, 'Titans': 0.229, 'Chiefs': 0.228, 'Bengals': 0.114}"
Tom Savage,2014,2018,3.035,5.008,"{'Texans': 2.344, '49ers': 0.249, 'Bengals': 0.207, 'Saints': 0.145, 'Lions': 0.09}"
Cody Kessler,2016,2019,3.028,4.597,"{'Browns': 1.719, 'Jaguars': 0.758, 'Patriots': 0.508, 'Eagles': 0.042}"
Trace McSorley,2019,2023,2.923,3.779,"{'Ravens': 1.466, 'Cardinals': 1.296, 'Steelers': 0.08, 'Bears': 0.08}"
Ryan Nassib,2013,2016,2.876,5.288,"{'Giants': 2.614, 'Jaguars': 0.182, 'Saints': 0.08}"
Kellen Mond,2021,2023,2.872,3.823,"{'Vikings': 1.819, 'Browns': 0.897, 'Colts': 0.156}"
Davis Webb,2017,2022,2.776,3.977,"{'Giants': 1.628, 'Bills': 0.593, 'Jets': 0.555}"
Christian Hackenberg,2016,2017,2.77,4.465,"{'Jets': 2.701, 'Bengals': 0.068}"
Malik Willis,2022,9999,2.766,3.266,{'Titans': 2.766}
Alex Tanney,2015,2020,2.755,4.091,"{'Giants': 1.692, 'Titans': 0.924, 'Cowboys': 0.072, 'Colts': 0.059, 'Bills': 0.007}"
Desmond Ridder,2022,9999,2.734,3.268,{'Falcons': 2.734}
Garrett Gilbert,2014,2022,2.669,3.761,"{'Browns': 0.762, 'Cowboys': 0.529, 'Patriots': 0.508, 'Panthers': 0.377, 'Commanders': 0.204, 'Rams': 0.15, 'Raiders': 0.127, 'Lions': 0.01}"
Jacob Eason,2020,2023,2.544,3.333,"{'Colts': 1.663, 'Seahawks': 0.52, 'Panthers': 0.18, 'Giants': 0.1, '49ers': 0.08}"
Sam Ehlinger,2021,9999,2.474,3.072,{'Colts': 2.474}
Bryce Petty,2015,2017,2.253,3.746,"{'Jets': 2.129, 'Dolphins': 0.124}"
Bailey Zappe,2022,9999,2.222,2.647,{'Patriots': 2.222}
Dan Orlovsky,2015,2016,2.175,3.715,"{'Lions': 2.115, 'Rams': 0.06}"
Ian Book,2021,2022,2.171,2.892,"{'Saints': 1.334, 'Eagles': 0.825, 'Patriots': 0.012}"
Feleipe Franks,2021,9999,2.109,2.634,"{'Falcons': 2.0, 'Panthers': 0.109}"
Jake Luton,2020,2022,2.092,2.589,"{'Jaguars': 0.792, 'Saints': 0.61, 'Panthers': 0.354, 'Seahawks': 0.263, 'Dolphins': 0.074}"
Tarvaris Jackson,2015,2015,2.0,3.712,"{'Seahawks': 1.5, 'Bills': 0.5}"
Ryan Finley,2019,2020,1.96,2.613,{'Bengals': 1.96}
Sam Howell,2022,9999,1.937,2.297,{'Commanders': 1.937}
Kyle Lauletta,2018,2020,1.931,2.722,"{'Giants': 1.188, 'Eagles': 0.367, 'Browns': 0.231, 'Jaguars': 0.129, 'Falcons': 0.017}"
Ricky Stanzi,2011,2015,1.755,3.653,"{'Chiefs': 1.063, 'Jaguars': 0.567, 'Lions': 0.112, 'Texans': 0.013}"
Connor Cook,2016,2018,1.749,2.782,"{'Raiders': 1.61, 'Bengals': 0.061, 'Lions': 0.04, 'Panthers': 0.038}"
Jake Rudock,2016,2020,1.733,2.599,"{'Lions': 1.332, 'Dolphins': 0.401}"
Jake Fromm,2020,9999,1.718,2.201,"{'Bills': 1.023, 'Commanders': 0.434, 'Giants': 0.26}"
Bryce Perkins,2020,2022,1.66,2.162,{'Rams': 1.66}
Hendon Hooker,2023,9999,1.659,1.885,{'Lions': 1.659}
Jake Browning,2019,9999,1.658,2.049,"{'Bengals': 1.205, 'Vikings': 0.453}"
Skylar Thompson,2022,9999,1.657,1.954,{'Dolphins': 1.657}
Zach Mettenberger,2014,2016,1.655,2.943,"{'Titans': 1.055, 'Steelers': 0.6}"
Brock Purdy,2022,9999,1.652,1.948,{'49ers': 1.652}
Logan Thomas,2014,2015,1.649,2.788,"{'Cardinals': 0.852, 'Dolphins': 0.375, '49ers': 0.3, 'Lions': 0.067, 'Giants': 0.055}"
James Morgan,2020,2021,1.571,2.046,"{'Jets': 1.39, 'Panthers': 0.092, 'Colts': 0.046, 'Cardinals': 0.034, 'Steelers': 0.009}"
Ryan Lindley,2012,2015,1.547,3.137,"{'Cardinals': 1.445, 'Chargers': 0.063, 'Colts': 0.039}"
Zac Dysert,2013,2017,1.531,2.7,"{'Broncos': 0.623, 'Cowboys': 0.615, 'Cardinals': 0.213, 'Texans': 0.066, 'Bills': 0.013}"
Cardale Jones,2016,2018,1.519,2.405,"{'Bills': 0.833, 'Chargers': 0.669, 'Seahawks': 0.016}"
Chris Streveler,2020,2022,1.513,1.978,"{'Cardinals': 1.087, 'Jets': 0.38, 'Ravens': 0.046}"
Kellen Moore,2017,2017,1.485,2.434,"{'Cowboys': 1.145, 'Lions': 0.34}"
Shane Buechele,2021,9999,1.481,1.858,"{'Chiefs': 1.225, 'Bills': 0.256}"
Garrett Grayson,2015,2018,1.475,2.563,"{'Saints': 1.32, 'Falcons': 0.079, 'Broncos': 0.076}"
Kyle Sloter,2017,2020,1.456,2.102,"{'Vikings': 1.064, 'Lions': 0.19, 'Cardinals': 0.096, 'Bears': 0.067, 'Raiders': 0.037, 'Broncos': 0.003}"
Matt Corral,2022,2022,1.381,1.689,{'Panthers': 1.381}
Sean Renfree,2013,2015,1.359,2.573,"{'Falcons': 1.339, 'Buccaneers': 0.02}"
Aidan O'Connell,2023,9999,1.259,1.431,{'Raiders': 1.259}
Aaron Murray,2014,2016,1.246,2.287,"{'Chiefs': 1.129, 'Eagles': 0.11, 'Cardinals': 0.007}"
Jake Haener,2023,9999,1.205,1.369,{'Saints': 1.205}
Ben DiNucci,2020,2023,1.196,1.51,"{'Cowboys': 0.871, 'Broncos': 0.325}"
